,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
285,IN,03,Jim Banks,R,True,True,67.8,"$1,202,509","$769,591"
286,IN,03,Chip Coldiron,D,False,False,32.2,"$94,056","$89,883"
287,IN,04,Jim Baird,R,True,True,66.6,"$327,727","$190,158"
288,IN,04,Joe Mackey,D,False,False,33.4,"$44,585","$43,213"
289,IN,05,Christina Hale,D,False,False,45.9,"$4,010,368","$3,998,905"
290,IN,05,Victoria Spartz,R,False,True,50.0,"$3,119,328","$3,010,203"
291,IN,06,Greg Pence,R,True,True,68.7,"$3,114,448","$2,804,148"
292,IN,06,Jeannine Lee Lake,D,False,False,27.7,"$143,089","$145,315"
293,IN,07,Andre Carson,D,True,True,62.4,"$1,011,635","$873,962"
294,IN,07,Susan Marie Smith,R,False,False,37.6,"$62,905","$59,843"
295,IN,08,Larry Bucshon,R,True,True,66.9,"$1,051,336","$1,078,646"
296,IN,08,Thomasina Marsili,D,False,False,29.8,"$68,734","$68,480"
297,IN,09,Trey Hollingsworth,R,True,True,60.9,"$1,166,754","$501,136"
298,IN,09,Andy Ruff,D,False,False,34.8,"$148,263","$134,906"
299,IA,01,Abby Finkenauer,D,True,False,48.7,"$5,901,441","$5,875,405"
300,IA,01,Ashley Hinson,R,False,True,51.3,"$5,175,883","$5,059,211"
301,IA,02,Rita Hart,D,False,False,50.0,"$4,232,992","$4,114,400"
302,IA,02,Mariannette Miller-Meeks,R,False,True,50.0,"$2,174,194","$1,721,926"
303,IA,03,Cindy Axne,D,True,True,49.0,"$6,236,976","$6,236,994"
304,IA,03,David Young,R,False,False,47.6,"$3,170,072","$3,094,582"
305,IA,04,J.D. Scholten,D,False,False,62.1,"$2,885,915","$2,902,003"
306,IA,04,Randy Feenstra,R,False,True,37.9,"$1,906,234","$1,894,288"
307,KS,01,Tracey Mann,R,False,True,71.4,"$1,403,353","$1,127,156"
308,KS,01,Kali Barnett,D,False,False,28.6,"$603,036","$592,924"
309,KS,02,Michelle De La Isla,D,False,False,40.5,"$1,825,085","$1,810,968"
310,KS,02,Jake Laturner,R,False,True,55.3,"$1,593,407","$1,578,460"
311,KS,03,Sharice Davids,D,True,True,53.4,"$5,638,552","$5,168,034"
312,KS,03,Amanda Adkins,R,False,False,43.8,"$2,182,382","$2,139,673"
313,KS,04,Ron Estes,R,True,True,64.0,"$1,993,808","$1,420,188"
314,KS,04,Laura Lombard,D,False,False,36.0,"$264,459","$258,684"
315,KY,01,James Comer,R,True,True,75.0,"$736,116","$502,554"
316,KY,02,Brett Guthrie,R,True,True,71.0,"$1,412,797","$1,566,622"
317,KY,02,Hank Linderman,D,False,False,26.3,"$93,388","$71,122"
318,KY,03,John Yarmuth,D,True,True,62.7,"$658,295","$690,226"
319,KY,03,Rhonda Palazzo,R,False,False,37.3,"$46,144","$45,668"
320,KY,04,Thomas Massie,R,True,True,67.1,"$1,457,316","$1,563,275"
321,KY,04,Alexandra Owensby,D,False,False,32.9,"$156,174","$106,359"
322,KY,05,Hal Rogers,R,True,True,84.2,"$664,168","$835,781"
323,KY,06,Andy Barr,R,True,True,57.3,"$4,536,264","$4,316,239"
324,KY,06,Josh Hicks,D,False,False,41.0,"$2,936,320","$2,935,615"
325,LA,01,Steve Scalise,R,True,True,72.2,"$37,262,827","$32,830,607"
326,LA,02,Cedric Richmond,D,True,True,63.6,"$1,628,289","$1,302,079"
327,LA,03,Clay Higgins,R,True,True,67.8,"$751,498","$720,424"
328,LA,03,Robert Jon Anderson,D,False,False,11.6,"$63,617","$48,015"
329,LA,03,Braylon Harris,D,False,False,17.9,"$23,006","$15,130"
330,LA,04,Mike Johnson,R,True,True,60.4,"$1,299,787","$1,039,393"
331,LA,04,Kenny Houston,D,False,False,25.5,"$33,677","$33,407"
332,LA,06,Garret Graves,R,True,True,71.1,"$1,743,015","$1,200,287"
333,LA,06,Dartanyon Williams,D,False,False,25.6,"$111,316","$98,114"
334,ME,01,Chellie Pingree,D,True,True,61.5,"$487,080","$264,790"
